sample_id,source_sample_index,timestep,app_id,traffic_byte,poi_label
0,210,0,0,0.0,1
0,210,0,1,0.0,1
0,210,0,2,0.0,1
0,210,0,3,0.0,1
0,210,0,4,0.0,1
0,210,0,5,0.0,1
0,210,0,6,0.0,1
0,210,0,7,0.0,1
0,210,0,8,0.0,1
0,210,0,9,0.0,1
0,210,0,10,0.0,1
0,210,0,11,0.0,1
0,210,0,12,0.0,1
0,210,0,13,0.0,1
0,210,0,14,0.0,1
0,210,0,15,0.0,1
0,210,0,16,0.0,1
0,210,0,17,0.0,1
0,210,0,18,0.0,1
0,210,0,19,0.0,1
0,210,1,0,0.0,1
0,210,1,1,0.0,1
0,210,1,2,0.0,1
0,210,1,3,0.0,1
0,210,1,4,0.0,1
0,210,1,5,0.0,1
0,210,1,6,0.0,1
0,210,1,7,0.0,1
0,210,1,8,0.0,1
0,210,1,9,0.0,1
0,210,1,10,0.0,1
0,210,1,11,0.0,1
0,210,1,12,0.0,1
0,210,1,13,0.0,1
0,210,1,14,0.0,1
0,210,1,15,0.0,1
0,210,1,16,0.0,1
0,210,1,17,0.0,1
0,210,1,18,0.0,1
0,210,1,19,0.0,1
0,210,2,0,0.0,0
0,210,2,1,0.0,0
0,210,2,2,0.0,0
0,210,2,3,0.0,0
0,210,2,4,0.0,0
0,210,2,5,0.0,0
0,210,2,6,0.0,0
0,210,2,7,0.0,0
0,210,2,8,0.0,0
0,210,2,9,0.0,0
0,210,2,10,0.0,0
0,210,2,11,0.0,0
0,210,2,12,0.0,0
0,210,2,13,0.0,0
0,210,2,14,0.0,0
0,210,2,15,0.0,0
0,210,2,16,0.0,0
0,210,2,17,0.0,0
0,210,2,18,0.0,0
0,210,2,19,0.0,0
0,210,3,0,0.0,1
0,210,3,1,0.0,1
0,210,3,2,0.0,1
0,210,3,3,0.0,1
0,210,3,4,0.0,1
0,210,3,5,0.0,1
0,210,3,6,0.0,1
0,210,3,7,0.0,1
0,210,3,8,0.0,1
0,210,3,9,0.0,1
0,210,3,10,0.0,1
0,210,3,11,0.0,1
0,210,3,12,0.0,1
0,210,3,13,0.0,1
0,210,3,14,0.0,1
0,210,3,15,0.0,1
0,210,3,16,0.0,1
0,210,3,17,0.0,1
0,210,3,18,0.0,1
0,210,3,19,0.0,1
0,210,4,0,0.0,0
0,210,4,1,0.0,0
0,210,4,2,0.0,0
0,210,4,3,0.0,0
0,210,4,4,0.0,0
0,210,4,5,0.0,0
0,210,4,6,0.0,0
0,210,4,7,0.0,0
0,210,4,8,0.0,0
0,210,4,9,0.0,0
0,210,4,10,0.0,0
0,210,4,11,0.0,0
0,210,4,12,0.0,0
0,210,4,13,0.0,0
0,210,4,14,0.0,0
0,210,4,15,0.0,0
0,210,4,16,0.0,0
0,210,4,17,0.0,0
0,210,4,18,0.0,0
0,210,4,19,0.0,0
0,210,5,0,0.0,0
0,210,5,1,0.0,0
